Year,Period,labor force,employment,unemployment,unemployment rate
2013,Jan,3798727,3406488,392239,10.3
2013,Feb,3807734,3420647,387087,10.2
2013,Mar,3792981,3433682,359299,9.5
2013,Apr,3780796,3433893,346903,9.2
2013,May,3817959,3462285,355674,9.3
2013,Jun,3897495,3499228,398267,10.2
2013,Jul,3873928,3493980,379948,9.8
2013,Aug,3829244,3471435,357809,9.3
2013,Sep,3789629,3456169,333460,8.8
2013,Oct,3768409,3433411,334998,8.9
2013,Nov,3766993,3451142,315851,8.4
2013,Dec,3757089,3443063,314026,8.4
2014,Jan,3761977,3425283,336694,8.9
2014,Feb,3777429,3438627,338802,9
2014,Mar,3801955,3489155,312800,8.2
2014,Apr,3741484,3465699,275785,7.4
2014,May,3761795,3487893,273902,7.3
2014,Jun,3828261,3539790,288471,7.5
2014,Jul,3833227,3548068,285159,7.4
2014,Aug,3796338,3529259,267079,7
2014,Sep,3760971,3516208,244763,6.5
2014,Oct,3790799,3548752,242047,6.4
2014,Nov,3775263,3544466,230797,6.1
2014,Dec,3764327,3545035,219292,5.8
2015,Jan,3763205,3502014,261191,6.9
2015,Feb,3766778,3515654,251124,6.7
2015,Mar,3759186,3526724,232462,6.2
2015,Apr,3763305,3537820,225485,6
2015,May,3771576,3543442,228134,6
2015,Jun,3830385,3583790,246595,6.4
2015,Jul,3815923,3578188,237735,6.2
2015,Aug,3777558,3559959,217599,5.8
2015,Sep,3724828,3528118,196710,5.3
2015,Oct,3765000,3558003,206997,5.5
2015,Nov,3767487,3553728,213759,5.7
2015,Dec,3785702,3565895,219807,5.8
2016,Jan,3791015,3536586,254429,6.7
2016,Feb,3830522,3577721,252801,6.6
2016,Mar,3852759,3607171,245588,6.4
2016,Apr,3828295,3587453,240842,6.3
2016,May,3799355,3586133,213222,5.6
2016,Jun,3870501,3626924,243577,6.3
2016,Jul,3862240,3631397,230843,6
2016,Aug,3787426,3567550,219876,5.8
2016,Sep,3771816,3558464,213352,5.7
2016,Oct,3767060,3553643,213417,5.7
2016,Nov,3763728,3570816,192912,5.1
2016,Dec,3747732,3556207,191525,5.1
2017,Jan,3822468,3606329,216139,5.7
2017,Feb,3823963,3623960,200003,5.2
2017,Mar,3833240,3655644,177596,4.6
2017,Apr,3798828,3621335,177493,4.7
2017,May,3837614,3660506,177108,4.6
2017,Jun,3908840,3697456,211384,5.4
2017,Jul,3899856,3695393,204463,5.2
2017,Aug,3852440,3646180,206260,5.4
2017,Sep,3840796,3657060,183736,4.8
2017,Oct,3838968,3659985,178983,4.7
2017,Nov,3854465,3681491,172974,4.5
2017,Dec,3832802,3662712,170090,4.4
2018,Jan,3788554,3595110,193444,5.1
2018,Feb,3837061,3651119,185942,4.8
2018,Mar,3807892,3653522,154370,4.1
2018,Apr,3772225,3639177,133048,3.5
2018,May,3779455,3646975,132480,3.5
2018,Jun,3862167,3688212,173955,4.5
2018,Jul,3871747,3708048,163699,4.2
2018,Aug,3818876,3665111,153765,4
2018,Sep,3782107,3641671,140436,3.7
2018,Oct,3818464,3674847,143617,3.8
2018,Nov,3822754,3693783,128971,3.4
2018,Dec,3811865,3669474,142391,3.7
2019,Jan,3828551,3641602,186949,4.9
2019,Feb,3834748,3664586,170162,4.4
2019,Mar,3839835,3682790,157045,4.1
2019,Apr,3816612,3671426,145186,3.8
2019,May,3788139,3654144,133995,3.5
2019,Jun,3869061,3707727,161334,4.2
2019,Jul,3865683,3708101,157582,4.1
2019,Aug,3838837,3695318,143519,3.7
2019,Sep,3789779,3662192,127587,3.4
2019,Oct,3803637,3678926,124711,3.3
2019,Nov,3804192,3688379,115813,3
2019,Dec,3796224,3679068,117156,3.1
2020,Jan,3783826,3637343,146483,3.9
2020,Feb,3833407,3682367,151040,3.9
2020,Mar,3889636,3651004,238632,6.1
2020,Apr,3743357,3035525,707832,18.9
2020,May,3644347,3095022,549325,15.1
2020,Jun,3722382,3219268,503114,13.5
2020,Jul,3710715,3237933,472782,12.7
2020,Aug,3656504,3262629,393875,10.8
2020,Sep,3648729,3282884,365845,10
2020,Oct,3640512,3334678,305834,8.4
2020,Nov,3673013,3372196,300817,8.2
2020,Dec,3641471,3350383,291088,8
2021,Jan,3622090,3331146,290944,8
2021,Feb,3659966,3380917,279049,7.6
2021,Mar,3683263,3426804,256459,7
2021,Apr,3709793,3451022,258771,7
2021,May,3714440,3462847,251593,6.8
2021,Jun,3800705,3498060,302645,8
2021,Jul,3797071,3524963,272108,7.2
2021,Aug,3763349,3522870,240479,6.4
2021,Sep,3741158,3548973,192185,5.1
2021,Oct,3782935,3596134,186801,4.9
2021,Nov,3799491,3636245,163246,4.3
2021,Dec,3826621,3671983,154638,4
2022,Jan,3843140,3643850,199290,5.2
2022,Feb,3862717,3668045,194672,5
2022,Mar,3856844,3685662,171182,4.4
2022,Apr,3834246,3667462,166784,4.3
2022,May,3849976,3676112,173864,4.5
2022,Jun,3898155,3692908,205247,5.3
2022,Jul,3872217,3674596,197621,5.1
2022,Aug,3866315,3665110,201205,5.2
2022,Sep,3831468,3653792,177676,4.6
2022,Oct,3846330,3673059,173271,4.5
2022,Nov,3848800,3680211,168589,4.4
2022,Dec,3838545,3676358,162187,4.2
2023,Jan,3850078,3670340,179738,4.7
2023,Feb,3854835,3698136,156699,4.1
2023,Mar,3845479,3689210,156269,4.1
2023,Apr,3837098,3712846,124252,3.2
2023,May,3796624,3674645,121979,3.2
2023,Jun,3836686,3672204,164482,4.3
2023,Jul,3813278,3662551,150727,4
2023,Aug,3795342,3607374,187968,5